-N 1000 -k 15 -maxk 50 -mu 0.3 -om 5 -on 100
P	R
99.86%	71.94%
----------------------------
Node	P	R
1	100.00%	100.00%
345	100.00%	100.00%
454	77.78%	100.00%
623	81.82%	100.00%
649	77.78%	100.00%
671	77.78%	100.00%
716	50.00%	100.00%
973	72.22%	100.00%
2	100.00%	100.00%
457	75.00%	100.00%
857	75.00%	100.00%
888	75.00%	100.00%
898	68.18%	100.00%
899	75.00%	100.00%
916	60.00%	100.00%
979	66.67%	100.00%
3	80.00%	100.00%
613	81.82%	100.00%
685	23.08%	100.00%
775	81.25%	100.00%
832	78.95%	100.00%
841	80.00%	100.00%
850	68.18%	100.00%
939	50.00%	100.00%
4	80.00%	100.00%
444	100.00%	100.00%
590	90.00%	100.00%
692	84.62%	100.00%
880	77.27%	100.00%
911	70.83%	100.00%
936	58.62%	100.00%
995	59.46%	100.00%
5	66.67%	100.00%
166	66.67%	100.00%
381	62.50%	100.00%
390	62.50%	100.00%
442	75.00%	100.00%
498	88.89%	100.00%
663	91.67%	100.00%
840	23.53%	100.00%
6	100.00%	100.00%
95	83.33%	100.00%
397	87.50%	100.00%
417	100.00%	100.00%
531	77.78%	100.00%
641	63.64%	100.00%
816	80.00%	100.00%
7	100.00%	100.00%
102	100.00%	100.00%
450	87.50%	100.00%
701	83.33%	100.00%
703	76.92%	100.00%
870	63.64%	100.00%
886	81.82%	100.00%
897	65.22%	100.00%
8	83.33%	100.00%
634	83.33%	100.00%
831	88.24%	100.00%
928	73.08%	100.00%
930	82.61%	100.00%
981	61.29%	100.00%
989	63.33%	100.00%
993	51.35%	100.00%
9	60.00%	100.00%
364	0.00%	0
578	60.00%	100.00%
585	70.00%	100.00%
650	72.73%	100.00%
658	54.55%	100.00%
896	58.33%	100.00%
957	18.75%	100.00%
10	100.00%	100.00%
240	83.33%	100.00%
837	94.74%	100.00%
864	90.48%	100.00%
878	81.82%	100.00%
893	82.61%	100.00%
924	73.08%	100.00%
983	70.59%	100.00%
11	66.67%	100.00%
34	75.00%	100.00%
232	83.33%	100.00%
532	88.89%	100.00%
553	88.89%	100.00%
632	83.33%	100.00%
707	80.00%	100.00%
769	75.00%	100.00%
12	80.00%	100.00%
488	100.00%	100.00%
638	18.18%	100.00%
910	69.23%	100.00%
933	78.57%	100.00%
941	81.48%	100.00%
945	75.86%	100.00%
1000	73.68%	100.00%
13	80.00%	100.00%
783	88.24%	100.00%
858	94.74%	100.00%
889	21.74%	100.00%
956	77.78%	100.00%
963	67.65%	100.00%
971	69.70%	100.00%
14	100.00%	100.00%
645	90.91%	100.00%
710	78.57%	100.00%
736	66.67%	100.00%
773	68.75%	100.00%
777	68.75%	100.00%
873	18.18%	100.00%
15	83.33%	100.00%
260	100.00%	100.00%
493	88.89%	100.00%
582	80.00%	100.00%
588	90.91%	100.00%
696	78.57%	100.00%
885	72.73%	100.00%
16	80.00%	100.00%
230	85.71%	100.00%
472	88.89%	100.00%
515	66.67%	85.71%
584	90.91%	100.00%
629	90.00%	100.00%
806	84.62%	100.00%
17	66.67%	100.00%
80	100.00%	100.00%
174	83.33%	100.00%
402	62.50%	100.00%
551	77.78%	100.00%
920	15.38%	100.00%
18	100.00%	100.00%
439	75.00%	100.00%
545	88.89%	100.00%
792	73.33%	100.00%
19	83.33%	100.00%
461	88.89%	100.00%
743	80.00%	100.00%
20	100.00%	100.00%
869	73.91%	100.00%
965	77.42%	100.00%
987	71.43%	100.00%
997	72.97%	100.00%
21	100.00%	100.00%
264	83.33%	100.00%
352	100.00%	100.00%
398	87.50%	100.00%
717	76.92%	100.00%
764	71.43%	100.00%
855	61.90%	100.00%
22	83.33%	100.00%
828	61.11%	100.00%
923	87.50%	100.00%
23	0.00%	0
