-N 1000 -k 15 -maxk 50 -mu 0.3 -om 5 -on 300
P:98.59%	R:43.48%
----------------------------
Node	P	R
1	50.00%	100.00%
232	42.86%	100.00%
503	25.00%	100.00%
603	30.00%	100.00%
641	27.27%	100.00%
700	23.08%	100.00%
959	18.52%	100.00%
981	48.48%	100.00%
2	100.00%	100.00%
359	0.00%	0
723	78.57%	100.00%
778	66.67%	100.00%
815	52.94%	100.00%
915	47.83%	100.00%
947	45.83%	100.00%
962	37.93%	100.00%
3	75.00%	100.00%
271	60.00%	100.00%
282	60.00%	100.00%
477	33.33%	100.00%
730	61.54%	100.00%
974	45.16%	100.00%
4	0.00%	0.00%
112	0.00%	0.00%
602	30.00%	100.00%
786	80.00%	100.00%
867	36.84%	100.00%
893	22.22%	100.00%
956	25.93%	100.00%
969	13.33%	100.00%
5	100.00%	100.00%
54	100.00%	100.00%
98	83.33%	100.00%
266	33.33%	66.67%
760	60.00%	100.00%
821	55.56%	100.00%
843	42.11%	100.00%
952	40.00%	100.00%
6	50.00%	100.00%
207	33.33%	100.00%
219	42.86%	100.00%
558	22.22%	100.00%
758	23.08%	100.00%
7	83.33%	100.00%
499	75.00%	100.00%
589	22.22%	100.00%
593	83.33%	100.00%
666	71.43%	100.00%
672	46.15%	100.00%
719	50.00%	100.00%
782	37.50%	100.00%
8	83.33%	100.00%
106	66.67%	100.00%
209	83.33%	100.00%
277	85.71%	100.00%
384	85.71%	100.00%
439	75.00%	100.00%
478	87.50%	100.00%
842	21.05%	100.00%
9	80.00%	100.00%
141	66.67%	100.00%
643	63.64%	100.00%
787	43.75%	100.00%
849	31.58%	85.71%
857	45.00%	100.00%
968	36.67%	100.00%
10	60.00%	100.00%
71	40.00%	100.00%
400	42.86%	100.00%
660	41.67%	100.00%
742	64.29%	100.00%
743	14.29%	100.00%
869	47.62%	100.00%
937	44.00%	100.00%
11	40.00%	100.00%
475	62.50%	100.00%
620	16.67%	100.00%
674	25.00%	100.00%
766	20.00%	100.00%
829	16.67%	100.00%
953	53.85%	93.33%
12	20.00%	100.00%
241	33.33%	100.00%
318	14.29%	100.00%
476	100.00%	100.00%
617	40.00%	80.00%
658	33.33%	100.00%
