-N 1000 -k 15 -maxk 50 -mu 0.3 -om 7 -on 300
P:97.73%	R:39.62%
----------------------------
Node	P	R
1	0.00%	0.00%
334	12.50%	100.00%
489	25.00%	100.00%
581	36.36%	100.00%
716	69.23%	100.00%
762	13.33%	100.00%
924	50.00%	100.00%
987	35.14%	100.00%
2	100.00%	100.00%
591	90.00%	100.00%
753	18.75%	100.00%
775	76.47%	100.00%
893	63.64%	100.00%
908	50.00%	100.00%
947	14.29%	100.00%
967	41.94%	100.00%
3	40.00%	100.00%
145	33.33%	100.00%
722	21.43%	75.00%
773	12.50%	100.00%
835	15.00%	100.00%
837	70.00%	100.00%
938	7.14%	50.00%
4	80.00%	100.00%
473	75.00%	100.00%
768	82.35%	100.00%
880	12.50%	100.00%
885	34.78%	100.00%
909	61.54%	100.00%
988	47.22%	100.00%
992	51.43%	100.00%
5	40.00%	100.00%
322	33.33%	100.00%
324	57.14%	100.00%
331	57.14%	100.00%
354	0.00%	0.00%
437	87.50%	100.00%
720	71.43%	100.00%
736	21.43%	100.00%
6	14.29%	100.00%
359	37.50%	100.00%
397	37.50%	75.00%
806	50.00%	100.00%
847	15.00%	100.00%
877	22.73%	100.00%
878	34.78%	100.00%
958	15.62%	83.33%
968	37.50%	100.00%
983	30.30%	100.00%
7	66.67%	100.00%
368	57.14%	100.00%
406	37.50%	100.00%
660	35.71%	100.00%
870	17.39%	100.00%
953	21.43%	100.00%
955	13.33%	100.00%
8	16.67%	50.00%
704	35.71%	100.00%
705	14.29%	100.00%
866	13.64%	75.00%
914	19.23%	100.00%
925	14.81%	100.00%
952	33.33%	100.00%
978	30.30%	100.00%
981	35.29%	100.00%
9	60.00%	100.00%
72	100.00%	100.00%
94	60.00%	100.00%
252	66.67%	100.00%
321	37.50%	100.00%
822	76.92%	100.00%
836	10.53%	100.00%
949	24.14%	100.00%
10	83.33%	100.00%
15	100.00%	100.00%
181	100.00%	100.00%
332	83.33%	100.00%
576	72.73%	100.00%
867	47.62%	100.00%
948	25.81%	100.00%
11	20.00%	100.00%
192	14.29%	100.00%
779	35.29%	100.00%
943	31.58%	100.00%
965	25.81%	100.00%
970	20.59%	100.00%
12	100.00%	100.00%
24	16.67%	100.00%
132	100.00%	100.00%
804	44.44%	100.00%
911	11.54%	100.00%
921	30.77%	88.89%
932	20.69%	100.00%
969	27.27%	100.00%
13	40.00%	100.00%
443	62.50%	100.00%
621	25.00%	100.00%
827	11.11%	50.00%
957	23.33%	100.00%
966	20.00%	100.00%
975	15.62%	100.00%
14	75.00%	100.00%
797	27.78%	100.00%
848	66.67%	100.00%
854	50.00%	100.00%
951	71.43%	100.00%
980	20.00%	100.00%
803	25.00%	100.00%
961	10.00%	100.00%
16	100.00%	100.00%
98	83.33%	100.00%
892	16.67%	100.00%
17	33.33%	100.00%
222	28.57%	100.00%
800	11.11%	100.00%
811	16.67%	100.00%
936	14.29%	100.00%
18	75.00%	100.00%
242	50.00%	100.00%
313	50.00%	100.00%
474	37.50%	100.00%
812	22.22%	100.00%
19	100.00%	100.00%
164	75.00%	100.00%
312	57.14%	100.00%
486	50.00%	100.00%
504	44.44%	100.00%
658	91.67%	100.00%
20	100.00%	100.00%
587	70.00%	100.00%
622	66.67%	100.00%
688	61.54%	100.00%
713	57.14%	100.00%
723	42.86%	100.00%
764	50.00%	100.00%
21	80.00%	100.00%
357	85.71%	100.00%
487	50.00%	100.00%
568	60.00%	100.00%
604	27.27%	100.00%
636	50.00%	100.00%
747	42.86%	100.00%
918	22.22%	100.00%
22	66.67%	100.00%
262	83.33%	100.00%
726	80.00%	100.00%
774	37.50%	100.00%
916	18.52%	100.00%
23	25.00%	100.00%
31	80.00%	100.00%
115	100.00%	100.00%
177	66.67%	100.00%
412	12.50%	100.00%
475	50.00%	100.00%
676	33.33%	100.00%
230	33.33%	100.00%
251	16.67%	100.00%
436	22.22%	100.00%
875	33.33%	100.00%
929	44.83%	100.00%
960	54.84%	100.00%
25	16.67%	100.00%
311	28.57%	100.00%
469	55.56%	100.00%
650	70.00%	100.00%
741	14.29%	50.00%
876	13.64%	100.00%
26	60.00%	100.00%
108	33.33%	100.00%
129	14.29%	100.00%
400	42.86%	75.00%
731	35.71%	100.00%
901	16.67%	80.00%
912	23.08%	100.00%
928	35.00%	77.78%
27	80.00%	100.00%
634	63.64%	100.00%
667	60.00%	100.00%
737	57.14%	100.00%
886	40.91%	100.00%
994	17.14%	100.00%
999	23.68%	90.00%
28	33.33%	100.00%
37	60.00%	100.00%
420	77.78%	100.00%
686	38.46%	83.33%
749	35.71%	100.00%
934	37.93%	100.00%
997	12.82%	100.00%
29	100.00%	100.00%
381	85.71%	100.00%
525	66.67%	100.00%
555	70.00%	100.00%
883	39.13%	100.00%
996	35.90%	100.00%
30	20.00%	100.00%
255	33.33%	100.00%
524	40.00%	100.00%
708	21.43%	100.00%
776	43.75%	100.00%
781	75.00%	92.31%
795	55.56%	100.00%
32	0.00%	0
499	62.50%	100.00%
631	25.00%	100.00%
725	35.71%	100.00%
789	83.33%	100.00%
941	33.33%	100.00%
973	31.25%	100.00%
33	80.00%	100.00%
350	85.71%	100.00%
402	75.00%	100.00%
815	44.44%	100.00%
874	75.00%	100.00%
977	31.25%	100.00%
34	40.00%	100.00%
141	14.29%	100.00%
246	50.00%	100.00%
498	0.00%	0.00%
778	35.29%	100.00%
849	18.18%	80.00%
871	14.29%	100.00%
971	12.50%	100.00%
35	60.00%	100.00%
173	60.00%	100.00%
281	28.57%	100.00%
483	14.29%	50.00%
684	41.67%	100.00%
900	36.00%	100.00%
36	80.00%	100.00%
299	71.43%	100.00%
422	0.00%	0.00%
895	40.91%	100.00%
896	37.50%	100.00%
984	28.57%	100.00%
378	50.00%	100.00%
501	44.44%	100.00%
831	30.00%	100.00%
834	19.05%	100.00%
935	13.79%	100.00%
38	80.00%	100.00%
256	100.00%	100.00%
374	100.00%	100.00%
405	40.00%	100.00%
490	50.00%	100.00%
767	52.94%	100.00%
788	12.50%	100.00%
