-N 1000 -k 15 -maxk 50 -mu 0.3 -om 5 -on 200
P:99.37%	R:56.97%
----------------------------
Node	P	R
1	80.00%	100.00%
447	22.22%	100.00%
698	91.67%	100.00%
714	0.00%	0
804	88.89%	100.00%
848	66.67%	100.00%
890	13.04%	75.00%
912	64.00%	100.00%
2	20.00%	100.00%
255	42.86%	100.00%
451	50.00%	100.00%
793	11.76%	66.67%
797	68.75%	100.00%
802	83.33%	100.00%
883	45.83%	100.00%
917	52.00%	100.00%
3	80.00%	100.00%
112	80.00%	100.00%
133	66.67%	100.00%
294	57.14%	100.00%
349	14.29%	100.00%
369	50.00%	100.00%
531	20.00%	100.00%
647	20.00%	100.00%
4	50.00%	100.00%
120	20.00%	100.00%
204	57.14%	100.00%
219	57.14%	100.00%
364	100.00%	100.00%
459	87.50%	100.00%
838	20.00%	80.00%
955	16.67%	100.00%
5	80.00%	100.00%
325	71.43%	100.00%
701	69.23%	100.00%
818	21.05%	100.00%
879	47.83%	100.00%
897	73.91%	100.00%
941	42.31%	100.00%
970	18.75%	100.00%
6	20.00%	100.00%
17	20.00%	100.00%
544	70.00%	100.00%
610	45.45%	100.00%
825	50.00%	100.00%
872	73.91%	100.00%
895	12.00%	100.00%
940	14.81%	100.00%
7	0.00%	0
445	77.78%	100.00%
645	81.82%	100.00%
706	71.43%	100.00%
764	68.75%	100.00%
798	72.22%	100.00%
974	60.61%	100.00%
1000	35.90%	100.00%
8	66.67%	100.00%
185	66.67%	100.00%
620	18.18%	100.00%
767	93.75%	100.00%
819	63.16%	100.00%
822	63.16%	100.00%
856	75.00%	100.00%
9	0.00%	0.00%
483	25.00%	100.00%
757	33.33%	100.00%
826	72.22%	100.00%
932	62.96%	100.00%
10	60.00%	100.00%
317	50.00%	100.00%
453	77.78%	100.00%
763	20.00%	100.00%
809	47.06%	100.00%
11	40.00%	100.00%
147	83.33%	100.00%
332	85.71%	100.00%
517	70.00%	100.00%
801	70.59%	100.00%
816	52.94%	100.00%
909	28.00%	100.00%
988	16.67%	100.00%
12	80.00%	100.00%
539	77.78%	100.00%
571	90.00%	100.00%
699	76.92%	100.00%
708	85.71%	100.00%
727	84.62%	100.00%
840	57.14%	100.00%
878	52.17%	100.00%
13	100.00%	100.00%
55	100.00%	100.00%
124	66.67%	100.00%
780	72.22%	100.00%
911	52.17%	100.00%
961	53.12%	100.00%
976	51.43%	100.00%
14	100.00%	100.00%
494	75.00%	100.00%
903	75.00%	100.00%
964	60.61%	100.00%
986	54.29%	100.00%
990	15.15%	100.00%
992	52.78%	100.00%
994	54.29%	100.00%
15	0.00%	0.00%
342	50.00%	100.00%
601	18.18%	100.00%
829	44.44%	100.00%
862	71.43%	100.00%
933	16.00%	100.00%
944	30.00%	100.00%
953	62.07%	100.00%
16	100.00%	100.00%
76	80.00%	100.00%
526	90.00%	100.00%
690	84.62%	100.00%
765	93.33%	100.00%
789	88.24%	100.00%
796	42.11%	100.00%
839	89.47%	100.00%
361	28.57%	100.00%
515	10.00%	100.00%
673	91.67%	100.00%
791	50.00%	100.00%
907	34.78%	100.00%
18	50.00%	100.00%
275	50.00%	100.00%
549	37.50%	100.00%
556	40.00%	100.00%
633	100.00%	100.00%
732	57.14%	100.00%
962	12.90%	100.00%
19	83.33%	100.00%
542	100.00%	100.00%
874	80.00%	100.00%
886	64.29%	100.00%
904	78.26%	100.00%
908	66.67%	100.00%
916	73.08%	100.00%
977	70.59%	100.00%
20	16.67%	100.00%
368	50.00%	100.00%
415	62.50%	100.00%
518	60.00%	100.00%
594	27.27%	100.00%
735	46.67%	87.50%
788	82.35%	100.00%
906	75.00%	100.00%
21	16.67%	100.00%
24	80.00%	100.00%
525	55.56%	100.00%
651	75.00%	100.00%
684	35.71%	100.00%
981	43.75%	100.00%
983	38.24%	100.00%
997	13.51%	100.00%
22	0.00%	0.00%
313	66.67%	100.00%
696	35.71%	100.00%
925	57.69%	100.00%
979	35.29%	100.00%
23	100.00%	100.00%
443	88.89%	100.00%
901	73.91%	100.00%
936	47.37%	100.00%
948	63.33%	100.00%
434	22.22%	100.00%
638	75.00%	100.00%
660	91.67%	100.00%
850	95.00%	100.00%
943	46.43%	100.00%
978	47.22%	100.00%
25	50.00%	100.00%
240	50.00%	100.00%
253	66.67%	100.00%
272	50.00%	100.00%
499	22.22%	100.00%
540	90.91%	100.00%
952	14.29%	80.00%
980	18.18%	100.00%
26	40.00%	100.00%
94	40.00%	100.00%
288	25.00%	100.00%
406	28.57%	100.00%
659	16.67%	100.00%
923	82.35%	100.00%
27	0.00%	0
403	57.14%	100.00%
827	60.00%	100.00%
851	52.38%	100.00%
894	45.45%	100.00%
959	40.62%	100.00%
987	55.88%	100.00%
28	0.00%	0
105	83.33%	100.00%
475	50.00%	100.00%
686	88.89%	100.00%
758	40.00%	100.00%
877	42.86%	100.00%
29	100.00%	100.00%
834	89.47%	100.00%
836	70.00%	100.00%
841	80.95%	100.00%
867	90.48%	100.00%
971	67.65%	100.00%
989	65.71%	100.00%
30	0.00%	0
785	58.82%	100.00%
835	80.00%	100.00%
31	83.33%	100.00%
132	83.33%	100.00%
404	87.50%	100.00%
528	66.67%	100.00%
729	71.43%	100.00%
781	62.50%	100.00%
823	60.00%	100.00%
32	80.00%	100.00%
398	71.43%	100.00%
590	63.64%	100.00%
709	70.00%	100.00%
792	70.59%	100.00%
887	20.83%	100.00%
975	50.00%	100.00%
33	80.00%	100.00%
630	75.00%	100.00%
692	69.23%	100.00%
777	0.00%	0
885	63.64%	100.00%
937	53.57%	100.00%
993	19.44%	100.00%
34	80.00%	100.00%
91	80.00%	100.00%
194	60.00%	100.00%
223	83.33%	100.00%
374	75.00%	100.00%
652	38.46%	100.00%
859	19.05%	100.00%
938	17.86%	100.00%
35	66.67%	100.00%
613	63.64%	100.00%
653	66.67%	100.00%
831	61.11%	100.00%
918	20.00%	100.00%
954	60.00%	100.00%
36	0.00%	0.00%
387	71.43%	100.00%
593	63.64%	100.00%
868	18.18%	100.00%
37	100.00%	100.00%
585	72.73%	100.00%
629	83.33%	100.00%
860	80.95%	100.00%
880	79.17%	100.00%
984	54.55%	100.00%
985	71.43%	100.00%
38	80.00%	100.00%
174	40.00%	100.00%
624	90.91%	100.00%
672	75.00%	100.00%
754	80.00%	100.00%
784	64.71%	100.00%
858	18.18%	100.00%
876	60.87%	100.00%
39	0.00%	0.00%
505	40.00%	100.00%
814	68.42%	100.00%
863	19.05%	100.00%
942	15.38%	80.00%
999	59.46%	95.65%
40	83.33%	100.00%
146	71.43%	100.00%
236	83.33%	100.00%
408	62.50%	100.00%
579	63.64%	100.00%
609	54.55%	100.00%
41	66.67%	100.00%
270	85.71%	100.00%
575	80.00%	100.00%
685	76.92%	100.00%
720	92.31%	100.00%
770	78.57%	100.00%
779	62.50%	100.00%
921	20.00%	100.00%
42	60.00%	100.00%
411	100.00%	100.00%
478	77.78%	100.00%
598	80.00%	100.00%
889	33.33%	100.00%
998	18.92%	100.00%
43	0.00%	0.00%
418	25.00%	100.00%
589	80.00%	100.00%
849	57.14%	100.00%
864	63.64%	100.00%
44	100.00%	100.00%
103	66.67%	100.00%
718	85.71%	100.00%
929	16.00%	100.00%
45	20.00%	100.00%
480	33.33%	100.00%
592	72.73%	100.00%
733	40.00%	100.00%
915	60.00%	93.75%
931	73.08%	100.00%
46	50.00%	100.00%
682	23.08%	100.00%
905	13.04%	75.00%
982	69.70%	100.00%
47	25.00%	100.00%
266	100.00%	100.00%
646	27.27%	100.00%
649	18.18%	100.00%
946	17.24%	100.00%
995	19.44%	100.00%
48	80.00%	100.00%
421	55.56%	100.00%
648	54.55%	100.00%
776	62.50%	100.00%
49	80.00%	80.00%
541	18.18%	100.00%
654	75.00%	100.00%
837	20.00%	100.00%
939	17.24%	100.00%
50	100.00%	100.00%
237	33.33%	100.00%
749	78.57%	100.00%
799	55.56%	100.00%
846	55.00%	100.00%
857	57.14%	100.00%
51	100.00%	100.00%
842	63.16%	100.00%
871	69.57%	100.00%
920	87.50%	100.00%
972	69.70%	100.00%
52	80.00%	100.00%
218	66.67%	100.00%
300	85.71%	100.00%
510	55.56%	100.00%
950	21.43%	100.00%
53	83.33%	100.00%
899	76.47%	100.00%
945	61.90%	100.00%
996	44.83%	100.00%
54	80.00%	100.00%
262	71.43%	100.00%
441	100.00%	100.00%
484	100.00%	100.00%
679	64.29%	100.00%
813	72.22%	100.00%
304	85.71%	100.00%
870	71.43%	100.00%
873	60.87%	100.00%
56	50.00%	100.00%
376	37.50%	100.00%
452	37.50%	100.00%
740	20.00%	100.00%
852	20.00%	100.00%
57	100.00%	100.00%
465	87.50%	100.00%
512	88.89%	100.00%
657	69.23%	100.00%
828	78.95%	100.00%
58	100.00%	100.00%
634	50.00%	100.00%
691	69.23%	100.00%
719	71.43%	100.00%
833	60.00%	100.00%
59	100.00%	100.00%
388	87.50%	100.00%
702	75.00%	100.00%
715	71.43%	100.00%
60	20.00%	100.00%
639	63.64%	100.00%
843	50.00%	100.00%
61	66.67%	100.00%
73	80.00%	100.00%
231	66.67%	100.00%
343	57.14%	100.00%
807	23.53%	100.00%
902	60.87%	100.00%
62	0.00%	0.00%
290	28.57%	100.00%
587	36.36%	100.00%
63	80.00%	100.00%
164	50.00%	100.00%
348	62.50%	100.00%
461	75.00%	100.00%
608	72.73%	100.00%
736	92.86%	100.00%
768	13.33%	100.00%
64	100.00%	100.00%
188	66.67%	100.00%
747	43.75%	100.00%
795	82.35%	100.00%
65	80.00%	100.00%
400	75.00%	100.00%
597	88.89%	100.00%
741	53.33%	100.00%
743	14.29%	100.00%
812	52.94%	100.00%
66	83.33%	100.00%
213	100.00%	100.00%
661	69.23%	100.00%
67	0.00%	0.00%
431	25.00%	100.00%
656	38.46%	100.00%
924	48.15%	100.00%
68	0.00%	0
144	33.33%	100.00%
448	75.00%	100.00%
786	91.67%	100.00%
69	80.00%	100.00%
260	57.14%	100.00%
482	0.00%	0
524	75.00%	100.00%
621	58.33%	100.00%
752	56.25%	100.00%
70	0.00%	0.00%
71	83.33%	100.00%
172	0.00%	0
625	83.33%	100.00%
72	100.00%	100.00%
208	60.00%	100.00%
774	78.57%	100.00%
803	66.67%	100.00%
910	50.00%	100.00%
963	45.16%	100.00%
928	17.86%	100.00%
74	100.00%	100.00%
519	88.89%	100.00%
710	83.33%	100.00%
956	51.61%	100.00%
75	80.00%	100.00%
107	80.00%	100.00%
677	42.86%	100.00%
966	27.27%	100.00%
521	88.89%	100.00%
552	63.64%	100.00%
559	72.73%	100.00%
77	100.00%	100.00%
250	83.33%	100.00%
583	90.91%	100.00%
655	84.62%	100.00%
78	50.00%	100.00%
131	85.71%	100.00%
216	57.14%	100.00%
712	64.29%	100.00%
761	53.33%	100.00%
866	55.00%	100.00%
79	20.00%	100.00%
820	78.57%	100.00%
80	50.00%	100.00%
561	60.00%	100.00%
707	61.54%	100.00%
716	38.46%	100.00%
766	20.00%	100.00%
958	15.62%	100.00%
967	18.75%	100.00%
81	83.33%	100.00%
913	68.00%	100.00%
934	76.92%	100.00%
949	60.00%	100.00%
82	80.00%	100.00%
206	66.67%	100.00%
436	57.14%	100.00%
469	57.14%	100.00%
568	22.22%	100.00%
83	80.00%	100.00%
154	0.00%	0.00%
965	74.19%	100.00%
84	80.00%	100.00%
97	100.00%	100.00%
279	57.14%	100.00%
283	57.14%	100.00%
468	50.00%	80.00%
85	20.00%	100.00%
586	100.00%	100.00%
687	100.00%	100.00%
991	18.92%	100.00%
86	33.33%	100.00%
121	80.00%	100.00%
663	84.62%	100.00%
806	17.65%	100.00%
87	50.00%	100.00%
578	80.00%	100.00%
805	23.53%	100.00%
88	20.00%	100.00%
457	77.78%	100.00%
580	28.57%	100.00%
884	45.83%	100.00%
89	40.00%	100.00%
156	33.33%	100.00%
363	42.86%	100.00%
711	23.08%	100.00%
861	18.18%	100.00%
90	20.00%	100.00%
424	50.00%	100.00%
745	57.14%	88.89%
914	64.00%	100.00%
935	65.52%	100.00%
211	66.67%	100.00%
635	81.82%	100.00%
703	100.00%	100.00%
92	16.67%	100.00%
545	100.00%	100.00%
665	46.15%	100.00%
891	86.67%	100.00%
968	25.00%	100.00%
93	80.00%	100.00%
180	50.00%	100.00%
557	0.00%	0
95	0.00%	0
96	83.33%	100.00%
336	85.71%	100.00%
458	88.89%	100.00%
503	100.00%	100.00%
548	77.78%	100.00%
98	0.00%	0
99	83.33%	100.00%
252	25.00%	100.00%
344	25.00%	100.00%
790	64.71%	100.00%
100	60.00%	100.00%
326	85.71%	100.00%
381	100.00%	100.00%
794	21.05%	100.00%
101	66.67%	100.00%
205	83.33%	100.00%
329	87.50%	100.00%
855	61.90%	100.00%
922	18.52%	100.00%
102	0.00%	0
723	57.14%	100.00%
212	83.33%	100.00%
104	33.33%	100.00%
142	33.33%	100.00%
158	50.00%	100.00%
783	76.47%	100.00%
508	88.89%	100.00%
106	100.00%	100.00%
210	66.67%	100.00%
534	60.00%	100.00%
705	58.33%	100.00%
810	64.71%	100.00%
487	62.50%	100.00%
574	70.00%	100.00%
596	0.00%	0.00%
108	83.33%	100.00%
239	83.33%	100.00%
109	83.33%	100.00%
529	77.78%	100.00%
694	53.85%	100.00%
110	80.00%	100.00%
150	60.00%	100.00%
226	66.67%	100.00%
509	88.89%	100.00%
111	0.00%	0.00%
869	80.95%	100.00%
927	74.07%	95.24%
669	58.33%	100.00%
844	90.00%	100.00%
113	60.00%	100.00%
217	83.33%	100.00%
896	17.39%	100.00%
114	100.00%	100.00%
171	83.33%	100.00%
233	83.33%	100.00%
616	90.91%	100.00%
115	80.00%	100.00%
258	85.71%	100.00%
666	23.08%	100.00%
116	0.00%	0
281	83.33%	100.00%
428	25.00%	100.00%
532	90.91%	100.00%
900	32.00%	100.00%
117	66.67%	100.00%
308	85.71%	100.00%
491	88.89%	100.00%
546	88.89%	100.00%
664	69.23%	100.00%
926	17.86%	100.00%
118	66.67%	100.00%
384	28.57%	100.00%
