-N 1000 -k 15 -maxk 50 -mu 0.3 -om 7 -on 100
P	R
99.89%	68.84%
----------------------------
Node	P	R
1	66.67%	100.00%
112	80.00%	100.00%
242	57.14%	100.00%
248	71.43%	100.00%
319	57.14%	100.00%
885	72.73%	100.00%
976	87.10%	100.00%
1000	26.32%	100.00%
2	80.00%	100.00%
494	33.33%	100.00%
648	83.33%	100.00%
781	64.71%	100.00%
839	5.00%	100.00%
864	57.89%	100.00%
942	55.17%	100.00%
985	44.44%	100.00%
3	83.33%	100.00%
692	41.67%	100.00%
807	88.24%	100.00%
845	94.74%	100.00%
896	91.30%	100.00%
944	87.50%	100.00%
969	65.62%	100.00%
998	53.85%	100.00%
4	0.00%	0
636	72.73%	100.00%
645	90.91%	100.00%
681	45.45%	100.00%
724	35.71%	100.00%
805	58.82%	100.00%
866	60.00%	100.00%
929	69.23%	100.00%
983	73.53%	100.00%
5	80.00%	100.00%
288	85.71%	100.00%
515	66.67%	100.00%
738	84.62%	100.00%
817	0.00%	0
865	73.68%	100.00%
902	65.22%	100.00%
961	61.29%	100.00%
6	100.00%	100.00%
252	100.00%	100.00%
789	87.50%	100.00%
911	91.30%	100.00%
957	80.65%	100.00%
974	77.42%	100.00%
996	64.86%	100.00%
7	100.00%	100.00%
10	60.00%	100.00%
20	80.00%	100.00%
405	50.00%	100.00%
429	50.00%	100.00%
430	0.00%	0
571	40.00%	100.00%
955	64.52%	100.00%
8	100.00%	100.00%
453	87.50%	100.00%
629	81.82%	100.00%
680	69.23%	100.00%
736	69.23%	100.00%
745	69.23%	100.00%
760	66.67%	100.00%
840	47.37%	100.00%
9	100.00%	100.00%
575	66.67%	100.00%
682	75.00%	100.00%
697	92.31%	100.00%
791	81.25%	100.00%
827	78.95%	100.00%
915	50.00%	100.00%
708	0.00%	0.00%
936	14.81%	100.00%
939	12.00%	100.00%
988	73.53%	100.00%
11	100.00%	100.00%
612	63.64%	100.00%
869	85.71%	100.00%
894	73.91%	100.00%
945	92.59%	100.00%
958	83.33%	100.00%
993	78.38%	100.00%
999	65.79%	100.00%
12	100.00%	100.00%
689	78.57%	100.00%
730	85.71%	100.00%
739	93.33%	100.00%
847	70.00%	100.00%
856	70.00%	100.00%
878	81.82%	100.00%
916	56.00%	100.00%
13	100.00%	100.00%
497	50.00%	100.00%
553	100.00%	100.00%
567	81.82%	100.00%
811	81.25%	100.00%
821	72.22%	100.00%
838	65.00%	100.00%
931	75.00%	100.00%
14	83.33%	100.00%
541	100.00%	100.00%
623	83.33%	100.00%
758	75.00%	100.00%
818	88.89%	100.00%
901	78.26%	100.00%
968	70.97%	100.00%
15	83.33%	100.00%
726	85.71%	100.00%
813	88.89%	100.00%
861	72.73%	100.00%
891	81.82%	100.00%
980	64.71%	100.00%
16	100.00%	100.00%
687	91.67%	100.00%
17	100.00%	100.00%
591	81.82%	100.00%
870	80.00%	100.00%
18	0.00%	0
52	80.00%	100.00%
124	100.00%	100.00%
598	54.55%	100.00%
863	85.00%	100.00%
888	66.67%	100.00%
956	83.33%	100.00%
991	54.05%	100.00%
19	100.00%	100.00%
110	80.00%	100.00%
709	100.00%	100.00%
734	85.71%	100.00%
815	92.31%	100.00%
917	12.50%	100.00%
490	90.00%	100.00%
619	90.91%	100.00%
21	83.33%	100.00%
388	100.00%	100.00%
457	100.00%	100.00%
898	90.91%	100.00%
913	84.00%	100.00%
952	73.33%	100.00%
960	68.75%	100.00%
975	66.67%	100.00%
22	20.00%	100.00%
62	80.00%	100.00%
424	77.78%	100.00%
779	75.00%	100.00%
23	0.00%	0
171	50.00%	75.00%
313	85.71%	100.00%
740	78.57%	100.00%
804	58.82%	100.00%
837	26.32%	83.33%
937	70.37%	100.00%
24	83.33%	100.00%
389	100.00%	100.00%
812	17.65%	100.00%
875	86.36%	100.00%
923	84.00%	100.00%
970	66.67%	100.00%
987	62.86%	100.00%
25	0.00%	0
263	100.00%	100.00%
464	66.67%	100.00%
824	43.75%	100.00%
904	82.61%	100.00%
928	44.00%	100.00%
947	57.14%	100.00%
26	100.00%	100.00%
332	85.71%	100.00%
799	82.35%	100.00%
834	83.33%	100.00%
852	75.00%	100.00%
893	63.64%	100.00%
948	58.62%	100.00%
27	100.00%	100.00%
412	0.00%	0
770	73.33%	100.00%
788	62.50%	100.00%
795	76.47%	100.00%
946	69.23%	100.00%
28	80.00%	100.00%
147	80.00%	100.00%
151	66.67%	100.00%
219	100.00%	100.00%
399	50.00%	100.00%
534	81.82%	100.00%
848	85.00%	100.00%
29	83.33%	100.00%
882	85.71%	100.00%
906	81.82%	100.00%
919	75.00%	100.00%
965	9.68%	100.00%
994	12.82%	100.00%
30	83.33%	100.00%
643	50.00%	100.00%
925	84.00%	100.00%
933	81.48%	100.00%
943	79.31%	100.00%
31	83.33%	100.00%
440	75.00%	100.00%
755	92.86%	100.00%
773	80.00%	100.00%
808	93.75%	100.00%
819	94.12%	100.00%
867	80.95%	100.00%
884	71.43%	100.00%
32	66.67%	100.00%
63	80.00%	100.00%
132	100.00%	100.00%
401	100.00%	100.00%
487	44.44%	100.00%
712	30.77%	100.00%
978	16.13%	100.00%
33	83.33%	100.00%
203	100.00%	100.00%
447	88.89%	100.00%
775	88.24%	100.00%
903	79.17%	100.00%
935	84.62%	100.00%
966	74.19%	100.00%
981	75.76%	100.00%
34	100.00%	100.00%
377	87.50%	100.00%
683	83.33%	100.00%
859	88.24%	100.00%
35	60.00%	100.00%
378	12.50%	100.00%
655	50.00%	100.00%
796	66.67%	100.00%
816	61.11%	100.00%
972	9.68%	100.00%
36	100.00%	100.00%
183	83.33%	100.00%
226	83.33%	100.00%
521	0.00%	0.00%
547	62.50%	100.00%
727	35.71%	100.00%
890	86.36%	100.00%
37	60.00%	100.00%
73	33.33%	100.00%
187	42.86%	100.00%
357	100.00%	100.00%
701	15.38%	100.00%
907	12.00%	100.00%
38	100.00%	100.00%
340	100.00%	100.00%
504	88.89%	100.00%
667	66.67%	100.00%
673	66.67%	100.00%
764	53.33%	100.00%
794	86.67%	100.00%
39	100.00%	100.00%
563	80.00%	100.00%
635	75.00%	100.00%
780	68.75%	100.00%
40	80.00%	100.00%
556	90.00%	100.00%
774	66.67%	100.00%
950	75.86%	100.00%
41	100.00%	100.00%
415	87.50%	100.00%
428	71.43%	100.00%
583	62.50%	100.00%
633	62.50%	100.00%
644	50.00%	100.00%
854	15.00%	100.00%
42	14.29%	100.00%
315	16.67%	100.00%
379	62.50%	100.00%
621	90.91%	100.00%
43	100.00%	100.00%
198	71.43%	100.00%
397	85.71%	100.00%
545	80.00%	100.00%
582	90.91%	100.00%
627	76.92%	100.00%
742	73.33%	100.00%
44	100.00%	100.00%
239	83.33%	100.00%
658	91.67%	100.00%
713	92.31%	100.00%
733	86.67%	100.00%
977	75.76%	100.00%
990	70.27%	100.00%
45	100.00%	100.00%
608	80.00%	100.00%
912	72.00%	100.00%
989	64.86%	100.00%
995	67.57%	100.00%
46	80.00%	100.00%
83	66.67%	100.00%
224	66.67%	100.00%
543	72.73%	100.00%
722	57.14%	100.00%
743	61.54%	100.00%
750	53.33%	100.00%
756	87.50%	100.00%
47	0.00%	0
185	100.00%	100.00%
566	66.67%	100.00%
653	72.73%	100.00%
48	100.00%	100.00%
400	87.50%	100.00%
546	81.82%	100.00%
721	84.62%	100.00%
728	73.33%	100.00%
880	9.52%	100.00%
49	100.00%	100.00%
347	85.71%	100.00%
538	81.82%	100.00%
686	84.62%	100.00%
753	14.29%	100.00%
820	68.42%	100.00%
850	80.00%	100.00%
50	83.33%	100.00%
69	83.33%	100.00%
176	71.43%	100.00%
212	83.33%	100.00%
275	71.43%	100.00%
322	71.43%	100.00%
631	81.82%	100.00%
926	80.00%	100.00%
51	83.33%	100.00%
238	85.71%	100.00%
420	87.50%	100.00%
594	90.91%	100.00%
611	63.64%	100.00%
737	53.85%	100.00%
836	36.84%	100.00%
241	33.33%	100.00%
519	80.00%	100.00%
53	80.00%	100.00%
472	100.00%	100.00%
607	90.00%	100.00%
54	80.00%	100.00%
153	71.43%	100.00%
296	85.71%	100.00%
361	87.50%	100.00%
564	100.00%	100.00%
55	60.00%	100.00%
286	33.33%	100.00%
452	33.33%	100.00%
846	78.95%	100.00%
908	12.50%	100.00%
920	12.00%	100.00%
56	83.33%	100.00%
699	100.00%	100.00%
828	89.47%	100.00%
883	94.44%	100.00%
57	75.00%	100.00%
131	50.00%	100.00%
273	42.86%	100.00%
338	100.00%	100.00%
353	50.00%	100.00%
461	77.78%	100.00%
899	13.04%	100.00%
58	80.00%	100.00%
234	100.00%	100.00%
759	70.59%	100.00%
959	14.29%	100.00%
59	100.00%	100.00%
450	100.00%	100.00%
761	86.67%	100.00%
793	0.00%	0
992	63.89%	100.00%
60	83.33%	100.00%
467	88.89%	100.00%
872	60.00%	100.00%
61	66.67%	100.00%
552	22.22%	100.00%
829	68.42%	100.00%
163	100.00%	100.00%
921	80.00%	100.00%
64	100.00%	100.00%
297	100.00%	100.00%
767	66.67%	100.00%
822	76.47%	100.00%
886	56.52%	100.00%
65	100.00%	100.00%
554	100.00%	100.00%
66	100.00%	100.00%
283	71.43%	100.00%
526	90.00%	100.00%
533	88.89%	100.00%
555	81.82%	100.00%
609	100.00%	100.00%
654	72.73%	100.00%
67	100.00%	100.00%
145	50.00%	100.00%
707	84.62%	100.00%
765	83.33%	100.00%
835	88.89%	100.00%
889	85.71%	100.00%
979	58.82%	100.00%
68	80.00%	100.00%
111	100.00%	100.00%
194	80.00%	100.00%
445	77.78%	100.00%
810	72.22%	100.00%
862	61.90%	100.00%
523	88.89%	100.00%
688	57.14%	100.00%
70	100.00%	100.00%
106	83.33%	100.00%
702	92.31%	100.00%
71	100.00%	100.00%
763	80.00%	100.00%
855	90.48%	100.00%
971	76.67%	100.00%
72	83.33%	100.00%
427	75.00%	100.00%
769	91.67%	100.00%
778	13.33%	100.00%
74	100.00%	100.00%
843	89.47%	100.00%
909	87.50%	100.00%
910	72.00%	100.00%
75	80.00%	100.00%
284	85.71%	100.00%
710	92.31%	100.00%
76	75.00%	100.00%
331	100.00%	100.00%
849	73.33%	100.00%
997	13.51%	100.00%
77	83.33%	100.00%
165	66.67%	100.00%
637	83.33%	100.00%
78	100.00%	100.00%
398	62.50%	100.00%
409	85.71%	100.00%
500	77.78%	100.00%
79	100.00%	100.00%
417	75.00%	100.00%
953	79.31%	100.00%
80	60.00%	100.00%
85	16.67%	100.00%
510	50.00%	100.00%
879	13.64%	100.00%
81	100.00%	100.00%
544	90.00%	100.00%
82	100.00%	100.00%
395	87.50%	100.00%
642	72.73%	100.00%
914	80.00%	100.00%
84	100.00%	100.00%
121	100.00%	100.00%
550	77.78%	100.00%
276	100.00%	100.00%
630	91.67%	100.00%
951	66.67%	100.00%
86	33.33%	100.00%
236	100.00%	100.00%
568	14.29%	100.00%
624	36.36%	100.00%
87	80.00%	100.00%
195	83.33%	100.00%
261	85.71%	100.00%
302	0.00%	0.00%
668	69.23%	100.00%
694	91.67%	100.00%
88	80.00%	100.00%
208	83.33%	100.00%
402	87.50%	100.00%
89	100.00%	100.00%
387	100.00%	100.00%
441	88.89%	100.00%
606	81.82%	100.00%
90	80.00%	100.00%
256	0.00%	0.00%
511	88.89%	100.00%
91	80.00%	100.00%
832	70.59%	100.00%
973	12.50%	100.00%
92	83.33%	100.00%
180	83.33%	100.00%
196	14.29%	100.00%
93	100.00%	100.00%
719	14.29%	100.00%
801	82.35%	100.00%
94	83.33%	100.00%
298	83.33%	100.00%
762	84.62%	100.00%
918	57.89%	100.00%
95	50.00%	100.00%
342	42.86%	100.00%
455	37.50%	100.00%
876	0.00%	0
96	83.33%	100.00%
443	100.00%	100.00%
505	88.89%	100.00%
551	90.00%	100.00%
766	86.67%	100.00%
97	0.00%	0
169	85.71%	100.00%
569	40.00%	100.00%
716	85.71%	100.00%
98	60.00%	100.00%
324	83.33%	100.00%
368	66.67%	100.00%
646	71.43%	100.00%
99	100.00%	100.00%
640	63.64%	100.00%
695	85.71%	100.00%
714	15.38%	100.00%
860	85.00%	100.00%
892	63.64%	100.00%
