degree distribution (probability density function of the degree in logarithmic bins) 
5.73684	0.0148215
7	0.0949963
8.47706	0.107733
10.9101	0.0700149
13.8796	0.033812
17.4314	0.0254171
22	0.0156686
27.7368	0.0119976
34.5128	0.00490029
43.8077	0.00260021
49	0.0001592

degree distribution (degree-occurrences) 
5	0.005
6	0.014
7	0.153
8	0.114
9	0.104
10	0.065
11	0.064
12	0.049
13	0.044
14	0.033
15	0.031
16	0.029
17	0.025
18	0.023
19	0.025
20	0.015
21	0.016
22	0.015
23	0.02
24	0.013
25	0.013
26	0.013
27	0.013
28	0.009
29	0.009
30	0.008
31	0.011
32	0.008
33	0.009
34	0.007
35	0.003
36	0.002
37	0.005
38	0.002
39	0.003
40	0.003
41	0.004
42	0.002
43	0.003
44	0.004
45	0.002
46	0.002
47	0.004
48	0.002
49	0.002


--------------------------------------
community distribution (size-occurrences)
7	0.07
8	0.04
9	0.05
10	0.04
11	0.04
12	0.03
13	0.01
14	0.03
15	0.03
16	0.03
17	0.05
18	0.06
19	0.04
20	0.02
21	0.03
23	0.04
24	0.01
25	0.04
26	0.01
27	0.04
28	0.02
29	0.02
30	0.03
32	0.03
33	0.02
34	0.01
35	0.01
36	0.01
38	0.01
39	0.02
41	0.01
43	0.02
45	0.03
46	0.02
47	0.02
49	0.01


--------------------------------------
mixing parameter
0	0.001
0.111111	0.001
0.133929	0.004
0.166667	0.001
0.190909	0.004
0.223361	0.037
0.253557	0.114
0.284913	0.309
0.307476	0.237
0.33475	0.168
0.372858	0.076
0.400647	0.017
0.429323	0.023
0.454545	0.002
0.5	0.005
0.6	0.001

--------------------------------------
